,neutral,peak,label,lm_neutral,lm_peak
0,../CK+/cohn-kanade-images/S063/002/S063_002_00000001.png,../CK+/cohn-kanade-images/S063/002/S063_002_00000023.png,5,../CK+/Landmarks/S063/002/S063_002_00000001_landmarks.txt,../CK+/Landmarks/S063/002/S063_002_00000023_landmarks.txt
1,../CK+/cohn-kanade-images/S063/001/S063_001_00000001.png,../CK+/cohn-kanade-images/S063/001/S063_001_00000013.png,7,../CK+/Landmarks/S063/001/S063_001_00000001_landmarks.txt,../CK+/Landmarks/S063/001/S063_001_00000013_landmarks.txt
2,../CK+/cohn-kanade-images/S071/004/S071_004_00000001.png,../CK+/cohn-kanade-images/S071/004/S071_004_00000028.png,1,../CK+/Landmarks/S071/004/S071_004_00000001_landmarks.txt,../CK+/Landmarks/S071/004/S071_004_00000028_landmarks.txt
3,../CK+/cohn-kanade-images/S071/002/S071_002_00000001.png,../CK+/cohn-kanade-images/S071/002/S071_002_00000020.png,6,../CK+/Landmarks/S071/002/S071_002_00000001_landmarks.txt,../CK+/Landmarks/S071/002/S071_002_00000020_landmarks.txt
4,../CK+/cohn-kanade-images/S071/006/S071_006_00000001.png,../CK+/cohn-kanade-images/S071/006/S071_006_00000014.png,3,../CK+/Landmarks/S071/006/S071_006_00000001_landmarks.txt,../CK+/Landmarks/S071/006/S071_006_00000014_landmarks.txt
5,../CK+/cohn-kanade-images/S071/005/S071_005_00000001.png,../CK+/cohn-kanade-images/S071/005/S071_005_00000021.png,5,../CK+/Landmarks/S071/005/S071_005_00000001_landmarks.txt,../CK+/Landmarks/S071/005/S071_005_00000021_landmarks.txt
6,../CK+/cohn-kanade-images/S071/001/S071_001_00000001.png,../CK+/cohn-kanade-images/S071/001/S071_001_00000013.png,7,../CK+/Landmarks/S071/001/S071_001_00000001_landmarks.txt,../CK+/Landmarks/S071/001/S071_001_00000013_landmarks.txt
7,../CK+/cohn-kanade-images/S088/004/S088_004_00000001.png,../CK+/cohn-kanade-images/S088/004/S088_004_00000020.png,3,../CK+/Landmarks/S088/004/S088_004_00000001_landmarks.txt,../CK+/Landmarks/S088/004/S088_004_00000020_landmarks.txt
8,../CK+/cohn-kanade-images/S088/001/S088_001_00000001.png,../CK+/cohn-kanade-images/S088/001/S088_001_00000017.png,7,../CK+/Landmarks/S088/001/S088_001_00000001_landmarks.txt,../CK+/Landmarks/S088/001/S088_001_00000017_landmarks.txt
9,../CK+/cohn-kanade-images/S050/004/S050_004_00000001.png,../CK+/cohn-kanade-images/S050/004/S050_004_00000021.png,1,../CK+/Landmarks/S050/004/S050_004_00000001_landmarks.txt,../CK+/Landmarks/S050/004/S050_004_00000021_landmarks.txt
10,../CK+/cohn-kanade-images/S050/002/S050_002_00000001.png,../CK+/cohn-kanade-images/S050/002/S050_002_00000018.png,7,../CK+/Landmarks/S050/002/S050_002_00000001_landmarks.txt,../CK+/Landmarks/S050/002/S050_002_00000018_landmarks.txt
11,../CK+/cohn-kanade-images/S050/006/S050_006_00000001.png,../CK+/cohn-kanade-images/S050/006/S050_006_00000023.png,5,../CK+/Landmarks/S050/006/S050_006_00000001_landmarks.txt,../CK+/Landmarks/S050/006/S050_006_00000023_landmarks.txt
12,../CK+/cohn-kanade-images/S050/001/S050_001_00000001.png,../CK+/cohn-kanade-images/S050/001/S050_001_00000017.png,4,../CK+/Landmarks/S050/001/S050_001_00000001_landmarks.txt,../CK+/Landmarks/S050/001/S050_001_00000017_landmarks.txt
13,../CK+/cohn-kanade-images/S086/002/S086_002_00000001.png,../CK+/cohn-kanade-images/S086/002/S086_002_00000015.png,5,../CK+/Landmarks/S086/002/S086_002_00000001_landmarks.txt,../CK+/Landmarks/S086/002/S086_002_00000015_landmarks.txt
14,../CK+/cohn-kanade-images/S086/001/S086_001_00000001.png,../CK+/cohn-kanade-images/S086/001/S086_001_00000019.png,7,../CK+/Landmarks/S086/001/S086_001_00000001_landmarks.txt,../CK+/Landmarks/S086/001/S086_001_00000019_landmarks.txt
15,../CK+/cohn-kanade-images/S093/004/S093_004_00000001.png,../CK+/cohn-kanade-images/S093/004/S093_004_00000016.png,5,../CK+/Landmarks/S093/004/S093_004_00000001_landmarks.txt,../CK+/Landmarks/S093/004/S093_004_00000016_landmarks.txt
16,../CK+/cohn-kanade-images/S093/001/S093_001_00000001.png,../CK+/cohn-kanade-images/S093/001/S093_001_00000020.png,6,../CK+/Landmarks/S093/001/S093_001_00000001_landmarks.txt,../CK+/Landmarks/S093/001/S093_001_00000020_landmarks.txt
17,../CK+/cohn-kanade-images/S129/002/S129_002_00000001.png,../CK+/cohn-kanade-images/S129/002/S129_002_00000011.png,7,../CK+/Landmarks/S129/002/S129_002_00000001_landmarks.txt,../CK+/Landmarks/S129/002/S129_002_00000011_landmarks.txt
18,../CK+/cohn-kanade-images/S129/012/S129_012_00000001.png,../CK+/cohn-kanade-images/S129/012/S129_012_00000011.png,5,../CK+/Landmarks/S129/012/S129_012_00000001_landmarks.txt,../CK+/Landmarks/S129/012/S129_012_00000011_landmarks.txt
19,../CK+/cohn-kanade-images/S129/011/S129_011_00000001.png,../CK+/cohn-kanade-images/S129/011/S129_011_00000018.png,3,../CK+/Landmarks/S129/011/S129_011_00000001_landmarks.txt,../CK+/Landmarks/S129/011/S129_011_00000018_landmarks.txt
20,../CK+/cohn-kanade-images/S129/006/S129_006_00000001.png,../CK+/cohn-kanade-images/S129/006/S129_006_00000010.png,1,../CK+/Landmarks/S129/006/S129_006_00000001_landmarks.txt,../CK+/Landmarks/S129/006/S129_006_00000010_landmarks.txt
21,../CK+/cohn-kanade-images/S087/004/S087_004_00000001.png,../CK+/cohn-kanade-images/S087/004/S087_004_00000012.png,3,../CK+/Landmarks/S087/004/S087_004_00000001_landmarks.txt,../CK+/Landmarks/S087/004/S087_004_00000012_landmarks.txt
22,../CK+/cohn-kanade-images/S087/007/S087_007_00000001.png,../CK+/cohn-kanade-images/S087/007/S087_007_00000016.png,1,../CK+/Landmarks/S087/007/S087_007_00000001_landmarks.txt,../CK+/Landmarks/S087/007/S087_007_00000016_landmarks.txt
23,../CK+/cohn-kanade-images/S087/005/S087_005_00000001.png,../CK+/cohn-kanade-images/S087/005/S087_005_00000012.png,5,../CK+/Landmarks/S087/005/S087_005_00000001_landmarks.txt,../CK+/Landmarks/S087/005/S087_005_00000012_landmarks.txt
24,../CK+/cohn-kanade-images/S087/001/S087_001_00000001.png,../CK+/cohn-kanade-images/S087/001/S087_001_00000011.png,7,../CK+/Landmarks/S087/001/S087_001_00000001_landmarks.txt,../CK+/Landmarks/S087/001/S087_001_00000011_landmarks.txt
25,../CK+/cohn-kanade-images/S126/004/S126_004_00000001.png,../CK+/cohn-kanade-images/S126/004/S126_004_00000012.png,7,../CK+/Landmarks/S126/004/S126_004_00000001_landmarks.txt,../CK+/Landmarks/S126/004/S126_004_00000012_landmarks.txt
26,../CK+/cohn-kanade-images/S126/008/S126_008_00000001.png,../CK+/cohn-kanade-images/S126/008/S126_008_00000029.png,1,../CK+/Landmarks/S126/008/S126_008_00000001_landmarks.txt,../CK+/Landmarks/S126/008/S126_008_00000029_landmarks.txt
27,../CK+/cohn-kanade-images/S097/004/S097_004_00000001.png,../CK+/cohn-kanade-images/S097/004/S097_004_00000030.png,3,../CK+/Landmarks/S097/004/S097_004_00000001_landmarks.txt,../CK+/Landmarks/S097/004/S097_004_00000030_landmarks.txt
28,../CK+/cohn-kanade-images/S097/006/S097_006_00000001.png,../CK+/cohn-kanade-images/S097/006/S097_006_00000019.png,5,../CK+/Landmarks/S097/006/S097_006_00000001_landmarks.txt,../CK+/Landmarks/S097/006/S097_006_00000019_landmarks.txt
29,../CK+/cohn-kanade-images/S097/001/S097_001_00000001.png,../CK+/cohn-kanade-images/S097/001/S097_001_00000021.png,7,../CK+/Landmarks/S097/001/S097_001_00000001_landmarks.txt,../CK+/Landmarks/S097/001/S097_001_00000021_landmarks.txt
30,../CK+/cohn-kanade-images/S074/004/S074_004_00000001.png,../CK+/cohn-kanade-images/S074/004/S074_004_00000018.png,3,../CK+/Landmarks/S074/004/S074_004_00000001_landmarks.txt,../CK+/Landmarks/S074/004/S074_004_00000018_landmarks.txt
31,../CK+/cohn-kanade-images/S074/002/S074_002_00000001.png,../CK+/cohn-kanade-images/S074/002/S074_002_00000016.png,7,../CK+/Landmarks/S074/002/S074_002_00000001_landmarks.txt,../CK+/Landmarks/S074/002/S074_002_00000016_landmarks.txt
32,../CK+/cohn-kanade-images/S074/005/S074_005_00000001.png,../CK+/cohn-kanade-images/S074/005/S074_005_00000043.png,5,../CK+/Landmarks/S074/005/S074_005_00000001_landmarks.txt,../CK+/Landmarks/S074/005/S074_005_00000043_landmarks.txt
33,../CK+/cohn-kanade-images/S074/001/S074_001_00000001.png,../CK+/cohn-kanade-images/S074/001/S074_001_00000020.png,4,../CK+/Landmarks/S074/001/S074_001_00000001_landmarks.txt,../CK+/Landmarks/S074/001/S074_001_00000020_landmarks.txt
34,../CK+/cohn-kanade-images/S054/004/S054_004_00000001.png,../CK+/cohn-kanade-images/S054/004/S054_004_00000024.png,3,../CK+/Landmarks/S054/004/S054_004_00000001_landmarks.txt,../CK+/Landmarks/S054/004/S054_004_00000024_landmarks.txt
35,../CK+/cohn-kanade-images/S054/002/S054_002_00000001.png,../CK+/cohn-kanade-images/S054/002/S054_002_00000015.png,4,../CK+/Landmarks/S054/002/S054_002_00000001_landmarks.txt,../CK+/Landmarks/S054/002/S054_002_00000015_landmarks.txt
36,../CK+/cohn-kanade-images/S054/003/S054_003_00000001.png,../CK+/cohn-kanade-images/S054/003/S054_003_00000007.png,7,../CK+/Landmarks/S054/003/S054_003_00000001_landmarks.txt,../CK+/Landmarks/S054/003/S054_003_00000007_landmarks.txt
37,../CK+/cohn-kanade-images/S999/003/S999_003_00000001.png,../CK+/cohn-kanade-images/S999/003/S999_003_00000055.png,4,../CK+/Landmarks/S999/003/S999_003_00000001_landmarks.txt,../CK+/Landmarks/S999/003/S999_003_00000055_landmarks.txt
38,../CK+/cohn-kanade-images/S999/001/S999_001_00000001.png,../CK+/cohn-kanade-images/S999/001/S999_001_00000018.png,1,../CK+/Landmarks/S999/001/S999_001_00000001_landmarks.txt,../CK+/Landmarks/S999/001/S999_001_00000018_landmarks.txt
39,../CK+/cohn-kanade-images/S073/006/S073_006_00000001.png,../CK+/cohn-kanade-images/S073/006/S073_006_00000014.png,3,../CK+/Landmarks/S073/006/S073_006_00000001_landmarks.txt,../CK+/Landmarks/S073/006/S073_006_00000014_landmarks.txt
40,../CK+/cohn-kanade-images/S073/001/S073_001_00000001.png,../CK+/cohn-kanade-images/S073/001/S073_001_00000013.png,7,../CK+/Landmarks/S073/001/S073_001_00000001_landmarks.txt,../CK+/Landmarks/S073/001/S073_001_00000013_landmarks.txt
41,../CK+/cohn-kanade-images/S135/012/S135_012_00000001.png,../CK+/cohn-kanade-images/S135/012/S135_012_00000020.png,5,../CK+/Landmarks/S135/012/S135_012_00000001_landmarks.txt,../CK+/Landmarks/S135/012/S135_012_00000020_landmarks.txt
42,../CK+/cohn-kanade-images/S135/001/S135_001_00000001.png,../CK+/cohn-kanade-images/S135/001/S135_001_00000039.png,7,../CK+/Landmarks/S135/001/S135_001_00000001_landmarks.txt,../CK+/Landmarks/S135/001/S135_001_00000039_landmarks.txt
43,../CK+/cohn-kanade-images/S147/002/S147_002_00000001.png,../CK+/cohn-kanade-images/S147/002/S147_002_00000013.png,2,../CK+/Landmarks/S147/002/S147_002_00000001_landmarks.txt,../CK+/Landmarks/S147/002/S147_002_00000013_landmarks.txt
44,../CK+/cohn-kanade-images/S098/004/S098_004_00000001.png,../CK+/cohn-kanade-images/S098/004/S098_004_00000015.png,5,../CK+/Landmarks/S098/004/S098_004_00000001_landmarks.txt,../CK+/Landmarks/S098/004/S098_004_00000015_landmarks.txt
45,../CK+/cohn-kanade-images/S098/003/S098_003_00000001.png,../CK+/cohn-kanade-images/S098/003/S098_003_00000013.png,3,../CK+/Landmarks/S098/003/S098_003_00000001_landmarks.txt,../CK+/Landmarks/S098/003/S098_003_00000013_landmarks.txt
46,../CK+/cohn-kanade-images/S107/005/S107_005_00000001.png,../CK+/cohn-kanade-images/S107/005/S107_005_00000011.png,3,../CK+/Landmarks/S107/005/S107_005_00000001_landmarks.txt,../CK+/Landmarks/S107/005/S107_005_00000011_landmarks.txt
47,../CK+/cohn-kanade-images/S107/001/S107_001_00000001.png,../CK+/cohn-kanade-images/S107/001/S107_001_00000010.png,7,../CK+/Landmarks/S107/001/S107_001_00000001_landmarks.txt,../CK+/Landmarks/S107/001/S107_001_00000010_landmarks.txt
48,../CK+/cohn-kanade-images/S065/004/S065_004_00000001.png,../CK+/cohn-kanade-images/S065/004/S065_004_00000028.png,5,../CK+/Landmarks/S065/004/S065_004_00000001_landmarks.txt,../CK+/Landmarks/S065/004/S065_004_00000028_landmarks.txt
49,../CK+/cohn-kanade-images/S065/002/S065_002_00000001.png,../CK+/cohn-kanade-images/S065/002/S065_002_00000022.png,4,../CK+/Landmarks/S065/002/S065_002_00000001_landmarks.txt,../CK+/Landmarks/S065/002/S065_002_00000022_landmarks.txt
50,../CK+/cohn-kanade-images/S065/003/S065_003_00000001.png,../CK+/cohn-kanade-images/S065/003/S065_003_00000022.png,7,../CK+/Landmarks/S065/003/S065_003_00000001_landmarks.txt,../CK+/Landmarks/S065/003/S065_003_00000022_landmarks.txt
51,../CK+/cohn-kanade-images/S065/005/S065_005_00000001.png,../CK+/cohn-kanade-images/S065/005/S065_005_00000008.png,3,../CK+/Landmarks/S065/005/S065_005_00000001_landmarks.txt,../CK+/Landmarks/S065/005/S065_005_00000008_landmarks.txt
52,../CK+/cohn-kanade-images/S157/002/S157_002_00000001.png,../CK+/cohn-kanade-images/S157/002/S157_002_00000011.png,2,../CK+/Landmarks/S157/002/S157_002_00000001_landmarks.txt,../CK+/Landmarks/S157/002/S157_002_00000011_landmarks.txt
53,../CK+/cohn-kanade-images/S022/006/S022_006_00000001.png,../CK+/cohn-kanade-images/S022/006/S022_006_00000017.png,3,../CK+/Landmarks/S022/006/S022_006_00000001_landmarks.txt,../CK+/Landmarks/S022/006/S022_006_00000017_landmarks.txt
54,../CK+/cohn-kanade-images/S022/005/S022_005_00000001.png,../CK+/cohn-kanade-images/S022/005/S022_005_00000032.png,1,../CK+/Landmarks/S022/005/S022_005_00000001_landmarks.txt,../CK+/Landmarks/S022/005/S022_005_00000032_landmarks.txt
55,../CK+/cohn-kanade-images/S022/001/S022_001_00000001.png,../CK+/cohn-kanade-images/S022/001/S022_001_00000030.png,7,../CK+/Landmarks/S022/001/S022_001_00000001_landmarks.txt,../CK+/Landmarks/S022/001/S022_001_00000030_landmarks.txt
56,../CK+/cohn-kanade-images/S132/002/S132_002_00000001.png,../CK+/cohn-kanade-images/S132/002/S132_002_00000018.png,6,../CK+/Landmarks/S132/002/S132_002_00000001_landmarks.txt,../CK+/Landmarks/S132/002/S132_002_00000018_landmarks.txt
57,../CK+/cohn-kanade-images/S132/003/S132_003_00000001.png,../CK+/cohn-kanade-images/S132/003/S132_003_00000023.png,4,../CK+/Landmarks/S132/003/S132_003_00000001_landmarks.txt,../CK+/Landmarks/S132/003/S132_003_00000023_landmarks.txt
58,../CK+/cohn-kanade-images/S132/006/S132_006_00000001.png,../CK+/cohn-kanade-images/S132/006/S132_006_00000023.png,5,../CK+/Landmarks/S132/006/S132_006_00000001_landmarks.txt,../CK+/Landmarks/S132/006/S132_006_00000023_landmarks.txt
59,../CK+/cohn-kanade-images/S132/005/S132_005_00000001.png,../CK+/cohn-kanade-images/S132/005/S132_005_00000016.png,3,../CK+/Landmarks/S132/005/S132_005_00000001_landmarks.txt,../CK+/Landmarks/S132/005/S132_005_00000016_landmarks.txt
60,../CK+/cohn-kanade-images/S132/008/S132_008_00000001.png,../CK+/cohn-kanade-images/S132/008/S132_008_00000010.png,7,../CK+/Landmarks/S132/008/S132_008_00000001_landmarks.txt,../CK+/Landmarks/S132/008/S132_008_00000010_landmarks.txt
61,../CK+/cohn-kanade-images/S119/003/S119_003_00000001.png,../CK+/cohn-kanade-images/S119/003/S119_003_00000024.png,4,../CK+/Landmarks/S119/003/S119_003_00000001_landmarks.txt,../CK+/Landmarks/S119/003/S119_003_00000024_landmarks.txt
62,../CK+/cohn-kanade-images/S119/008/S119_008_00000001.png,../CK+/cohn-kanade-images/S119/008/S119_008_00000018.png,1,../CK+/Landmarks/S119/008/S119_008_00000001_landmarks.txt,../CK+/Landmarks/S119/008/S119_008_00000018_landmarks.txt
63,../CK+/cohn-kanade-images/S119/001/S119_001_00000001.png,../CK+/cohn-kanade-images/S119/001/S119_001_00000011.png,7,../CK+/Landmarks/S119/001/S119_001_00000001_landmarks.txt,../CK+/Landmarks/S119/001/S119_001_00000011_landmarks.txt
64,../CK+/cohn-kanade-images/S061/004/S061_004_00000001.png,../CK+/cohn-kanade-images/S061/004/S061_004_00000022.png,3,../CK+/Landmarks/S061/004/S061_004_00000001_landmarks.txt,../CK+/Landmarks/S061/004/S061_004_00000022_landmarks.txt
65,../CK+/cohn-kanade-images/S061/002/S061_002_00000001.png,../CK+/cohn-kanade-images/S061/002/S061_002_00000015.png,5,../CK+/Landmarks/S061/002/S061_002_00000001_landmarks.txt,../CK+/Landmarks/S061/002/S061_002_00000015_landmarks.txt
66,../CK+/cohn-kanade-images/S061/001/S061_001_00000001.png,../CK+/cohn-kanade-images/S061/001/S061_001_00000012.png,7,../CK+/Landmarks/S061/001/S061_001_00000001_landmarks.txt,../CK+/Landmarks/S061/001/S061_001_00000012_landmarks.txt
67,../CK+/cohn-kanade-images/S068/004/S068_004_00000001.png,../CK+/cohn-kanade-images/S068/004/S068_004_00000010.png,4,../CK+/Landmarks/S068/004/S068_004_00000001_landmarks.txt,../CK+/Landmarks/S068/004/S068_004_00000010_landmarks.txt
68,../CK+/cohn-kanade-images/S068/002/S068_002_00000001.png,../CK+/cohn-kanade-images/S068/002/S068_002_00000015.png,5,../CK+/Landmarks/S068/002/S068_002_00000001_landmarks.txt,../CK+/Landmarks/S068/002/S068_002_00000015_landmarks.txt
69,../CK+/cohn-kanade-images/S068/003/S068_003_00000001.png,../CK+/cohn-kanade-images/S068/003/S068_003_00000014.png,7,../CK+/Landmarks/S068/003/S068_003_00000001_landmarks.txt,../CK+/Landmarks/S068/003/S068_003_00000014_landmarks.txt
70,../CK+/cohn-kanade-images/S068/005/S068_005_00000001.png,../CK+/cohn-kanade-images/S068/005/S068_005_00000021.png,3,../CK+/Landmarks/S068/005/S068_005_00000001_landmarks.txt,../CK+/Landmarks/S068/005/S068_005_00000021_landmarks.txt
71,../CK+/cohn-kanade-images/S134/004/S134_004_00000001.png,../CK+/cohn-kanade-images/S134/004/S134_004_00000015.png,5,../CK+/Landmarks/S134/004/S134_004_00000001_landmarks.txt,../CK+/Landmarks/S134/004/S134_004_00000015_landmarks.txt
72,../CK+/cohn-kanade-images/S134/003/S134_003_00000001.png,../CK+/cohn-kanade-images/S134/003/S134_003_00000011.png,1,../CK+/Landmarks/S134/003/S134_003_00000001_landmarks.txt,../CK+/Landmarks/S134/003/S134_003_00000011_landmarks.txt
73,../CK+/cohn-kanade-images/S134/008/S134_008_00000001.png,../CK+/cohn-kanade-images/S134/008/S134_008_00000013.png,3,../CK+/Landmarks/S134/008/S134_008_00000001_landmarks.txt,../CK+/Landmarks/S134/008/S134_008_00000013_landmarks.txt
74,../CK+/cohn-kanade-images/S112/005/S112_005_00000001.png,../CK+/cohn-kanade-images/S112/005/S112_005_00000017.png,1,../CK+/Landmarks/S112/005/S112_005_00000001_landmarks.txt,../CK+/Landmarks/S112/005/S112_005_00000017_landmarks.txt
75,../CK+/cohn-kanade-images/S149/002/S149_002_00000001.png,../CK+/cohn-kanade-images/S149/002/S149_002_00000013.png,2,../CK+/Landmarks/S149/002/S149_002_00000001_landmarks.txt,../CK+/Landmarks/S149/002/S149_002_00000013_landmarks.txt
76,../CK+/cohn-kanade-images/S106/004/S106_004_00000001.png,../CK+/cohn-kanade-images/S106/004/S106_004_00000008.png,3,../CK+/Landmarks/S106/004/S106_004_00000001_landmarks.txt,../CK+/Landmarks/S106/004/S106_004_00000008_landmarks.txt
77,../CK+/cohn-kanade-images/S106/002/S106_002_00000001.png,../CK+/cohn-kanade-images/S106/002/S106_002_00000016.png,6,../CK+/Landmarks/S106/002/S106_002_00000001_landmarks.txt,../CK+/Landmarks/S106/002/S106_002_00000016_landmarks.txt
78,../CK+/cohn-kanade-images/S106/006/S106_006_00000001.png,../CK+/cohn-kanade-images/S106/006/S106_006_00000011.png,5,../CK+/Landmarks/S106/006/S106_006_00000001_landmarks.txt,../CK+/Landmarks/S106/006/S106_006_00000011_landmarks.txt
79,../CK+/cohn-kanade-images/S053/004/S053_004_00000001.png,../CK+/cohn-kanade-images/S053/004/S053_004_00000024.png,5,../CK+/Landmarks/S053/004/S053_004_00000001_landmarks.txt,../CK+/Landmarks/S053/004/S053_004_00000024_landmarks.txt
80,../CK+/cohn-kanade-images/S053/001/S053_001_00000001.png,../CK+/cohn-kanade-images/S053/001/S053_001_00000023.png,7,../CK+/Landmarks/S053/001/S053_001_00000001_landmarks.txt,../CK+/Landmarks/S053/001/S053_001_00000023_landmarks.txt
81,../CK+/cohn-kanade-images/S113/003/S113_003_00000001.png,../CK+/cohn-kanade-images/S113/003/S113_003_00000015.png,6,../CK+/Landmarks/S113/003/S113_003_00000001_landmarks.txt,../CK+/Landmarks/S113/003/S113_003_00000015_landmarks.txt
82,../CK+/cohn-kanade-images/S113/008/S113_008_00000001.png,../CK+/cohn-kanade-images/S113/008/S113_008_00000023.png,1,../CK+/Landmarks/S113/008/S113_008_00000001_landmarks.txt,../CK+/Landmarks/S113/008/S113_008_00000023_landmarks.txt
83,../CK+/cohn-kanade-images/S113/001/S113_001_00000001.png,../CK+/cohn-kanade-images/S113/001/S113_001_00000012.png,7,../CK+/Landmarks/S113/001/S113_001_00000001_landmarks.txt,../CK+/Landmarks/S113/001/S113_001_00000012_landmarks.txt
84,../CK+/cohn-kanade-images/S067/004/S067_004_00000001.png,../CK+/cohn-kanade-images/S067/004/S067_004_00000023.png,1,../CK+/Landmarks/S067/004/S067_004_00000001_landmarks.txt,../CK+/Landmarks/S067/004/S067_004_00000023_landmarks.txt
85,../CK+/cohn-kanade-images/S067/002/S067_002_00000001.png,../CK+/cohn-kanade-images/S067/002/S067_002_00000014.png,7,../CK+/Landmarks/S067/002/S067_002_00000001_landmarks.txt,../CK+/Landmarks/S067/002/S067_002_00000014_landmarks.txt
86,../CK+/cohn-kanade-images/S067/006/S067_006_00000001.png,../CK+/cohn-kanade-images/S067/006/S067_006_00000011.png,3,../CK+/Landmarks/S067/006/S067_006_00000001_landmarks.txt,../CK+/Landmarks/S067/006/S067_006_00000011_landmarks.txt
87,../CK+/cohn-kanade-images/S067/005/S067_005_00000001.png,../CK+/cohn-kanade-images/S067/005/S067_005_00000022.png,5,../CK+/Landmarks/S067/005/S067_005_00000001_landmarks.txt,../CK+/Landmarks/S067/005/S067_005_00000022_landmarks.txt
88,../CK+/cohn-kanade-images/S045/004/S045_004_00000001.png,../CK+/cohn-kanade-images/S045/004/S045_004_00000015.png,3,../CK+/Landmarks/S045/004/S045_004_00000001_landmarks.txt,../CK+/Landmarks/S045/004/S045_004_00000015_landmarks.txt
89,../CK+/cohn-kanade-images/S045/005/S045_005_00000001.png,../CK+/cohn-kanade-images/S045/005/S045_005_00000030.png,1,../CK+/Landmarks/S045/005/S045_005_00000001_landmarks.txt,../CK+/Landmarks/S045/005/S045_005_00000030_landmarks.txt
90,../CK+/cohn-kanade-images/S089/002/S089_002_00000001.png,../CK+/cohn-kanade-images/S089/002/S089_002_00000021.png,5,../CK+/Landmarks/S089/002/S089_002_00000001_landmarks.txt,../CK+/Landmarks/S089/002/S089_002_00000021_landmarks.txt
